first,last,group_name
AAZHANG,BEHNAAM,1
ABBOTT,L. F.,2
ABBOTT,L.F.,2
ABDALLAH,C.T.,3
ABRAMOWICZ,HALINA,4
ABRASH,VICTOR,5
ABU-MOSTAFA,Y.,6
ABU-MOSTAFA,YASER,6
ABU-MOSTAFA,YASER S.,6
ACKLEY,DAVID H.,7
ADAMS,NICHOLAS J.,8
ADLER,ROBERT J.,9
ADORJAN,PETER,10
AERTSEN,AD,11
AFGHAN,A.,12
AGIN,PATRICK,13
AHALT,S.C.,14
AHMAD,SUBUTAI,15
AHUJA,NARENDRA,16
AKERS,L.A.,17
AL-ANSARI,MOHAMMAD A.,18
ALBRIGHT,T. D.,19
ALEXANDER,JAY,20
ALKON,DANIEL L.,21
ALLEN,ROBERT,22
ALLEN,ROBERT B.,22
ALLEN,T.P.,22
ALLEY,R.K.,23
ALLINSON,NIGEL M.,24
ALLMAN,JOHN,25
ALPAYDIN,E.,26
ALSPECTOR,J.,27
ALSPECTOR,JOSHUA,27
ALVELDA,PHILLIP,28
AMARI,S.,29
AMARI,SHUN-ICHI,29
AMBROS-INGERSON,JOSE,30
ANANDAN,P.,31
ANASTASIO,THOMAS,32
ANASTASIO,THOMAS J.,32
ANDERSEN,RICHARD A.,33
ANDERSON,BROOKE,34
ANDERSON,CHARLES W.,34
ANDERSON,DANA Z.,34
ANDERSON,JANEEN,34
ANDO,HIROSHI,35
ANDRE,DAVID,36
ANDREOU,ANDREAS G.,37
ANDRIEU,CHRISTOPHE,38
ANGELINE,PETER J.,39
ANNASWAMY,A.M.,40
APSEL,ALYSSA,41
ARCHIE,KEVIN A.,42
ARETHOR,FRANKLIN R.,43
ARIMOTO,SUGURU,44
ASANOVIC,K.,45
ASOGAWA,MINORU,46
ASSAD,CHRISTOPHER,47
ATIYA,AMIR,48
ATIYA,AMIR F.,48
ATKESON,C.C.,49
ATKESON,CHRISTOPHER,49
ATKESON,CHRISTOPHER G.,49
ATLAN,HENRI,50
ATLAS,LES,51
ATLAS,LES E.,51
ATTIAS,H.,52
ATTIAS,HAGAI,52
AUER,P.,53
AUSTIN,JIM,54
BACHRACH,JONATHAN,55
BACK,A.D.,56
BACK,ANDREW,56
BADRAN,FOUAD,57
BAIN,JOHN,58
BAIR,W.,59
BAIR,WYETH,59
BAIRD,BILL,60
BAIRD,H.S.,60
BAIRD,LEEMON,60
BAIRD,LEEMON C.,60
BAKKER,REMBRANDT,61
BALDI,P.,62
BALDI,PIERRE,62
BALLARD,D.H.,63
BALLARD,DANA H.,63
BALUJA,S.,64
BALUJA,SHUMEET,64
BAND,PIERRE,65
BANIK,JASHOJIBAN,66
BARADUC,PIERRE,67
BARAM,YORAM,68
BARAS,JOHN,69
BARBER,DAVID,70
BARHEN,J.,71
BARHEN,JACOB,71
BARKAI,N.,72
BARNARD,ETIENNE,73
BARR,ALAN,74
BARR,ALAN H.,74
BARRON,ANDREW R.,75
BARTELS,ANDREAS M.,76
BARTLETT,M.S.,77
BARTLETT,MARIAN S.,77
BARTLETT,MARIAN STEWART,77
BARTLETT,P.L.,77
BARTLETT,PETER,77
BARTLETT,PETER L.,77
BARTO,A.G.,78
BARTO,ANDREW G.,78
BASRI,RONEN,79
BAUER,H.U.,80
BAUER,HANS ULRICH,80
BAUM,ERIC,81
BAUM,ERIC B.,81
BAUMGARDT,DOUGLAS,82
BAVELIER,DAPHNE,83
BAXTER,DONALD J.,84
BAXTER,J.,84
BAXTER,JONATHAN,84
BAXTER,WILLIAM,84
BAYLISS,JESSICA D.,85
BEAL,MATTHEW J.,86
BECK,J.,87
BECK,JAMES,87
BECKER,SUZANNA,88
BECKMAN,PAUL,89
BECKMANN,C.F.,90
BEER,R.D.,91
BEER,RANDALL D.,91
BEHRMAN,ELIZABETH C.,92
BEHRMANN,MARLENE,93
BELEW,RICHARD K.,94
BELL,A.J.,95
BELL,ANTHONY,95
BELL,ANTHONY J.,95
BEN,JAN,96
BEN-HUT,ASA,97
BENGIO,SAMY,98
BENGIO,Y.,98
BENGIO,YOSHUA,98
BENKERT,CLAUS,99
BENNETT,KRISTIN,100
BENSON,RONALD G.,101
BERGEN,JIM,102
BERNANDER,OJVIND,103
BERNASCONI,J.,104
BERNASCONI,JAKOB,104
BERNIER,OLIVIER,105
BERRY,MICHAEL J.,106
BERSINI,HUGUES,107
BERT,JOEL,108
BERTHIER,N.E.,109
BERTHOLD,MICHAEL R.,110
BERTONI,ALBERTO,111
BERTSEKAS,DIMITRI,112
BFILTHOFF,HEINRICH H.,113
BHALLA,UPINDER S.,114
BHUSHAN,NIKHIL,115
BIALEK,W.,116
BIALEK,WILHAM,116
BIALEK,WILLIAM,116
BIENENSTOCK,ELIE,117
BILBRO,GRIFF,118
BILMES,JEFF,119
BIRATTARI,MAURO,120
BISCHOF,HORST,121
BISHOP,C.M.,122
BISHOP,CHRIS M.,122
BISHOP,CHRISTOPHER M.,122
BISIO,GIACOMO M.,123
BISOFBERGER,BROOKS,124
BISSET,DAVID L.,125
BISWAS,SANJAY,126
BLACKMAN,DAVID,127
BLAIR,ALAN,128
BLAIR,ALAN D.,128
BLAIR,H.T.,128
BLAIS,BRIAN S.,129
BLAKE,A.,130
BLAKE,ANDREW,130
BLANZ,W.E.,131
BLASDEL,G.G.,132
BLASDEL,GARY G.,132
BLASIG,REINHARD,133
BLATT,M.,134
BLAUM,MARIO,135
BLOESCH,ANTHONY,136
BLUM,AVRIM,137
BLUM,EDWARD K.,137
BMSKE,JORG,138
BOAHEN,K.,139
BOAHEN,KWABENA A.,139
BOCCHIERI,ENRICO,140
BODENHAUSEN,ULRICH,141
BOE,GENE,142
BOES,S.,143
BOHOSSIAN,V.,144
BOHOSSIAN,VASKEN,144
BOHR,HENRIK,145
BOHR,JAKOB,145
BOLLMANN-SDORRA,PETER,146
BOLOURI,H.,147
BONDS,A.B.,148
BONE,DON,149
BONNLANDER,BRIAN V.,150
BONTEMPI,GIANLUCA,151
BOONYANIT,KAN,152
BORG-GRAHAM,LYLE J.,153
BORGER,JULIA,154
BORISYUK,G.N.,155
BORISYUK,R.M.,155
BOS,SIEGFRIED,156
BOSER,B.,157
BOSER,BERNHARD E.,157
BOSTOCK,RICHARD T. J.,158
BOTELHO,F.,159
BOTELHO,FERNANDA,159
BOTROS,SHERIF,160
BOTTOU,L.,161
BOTTOU,LEON,161
BOURGINE,PAUL,162
BOURLARD,H.,163
BOURLARD,HERVD,163
BOURLARD,HERVE,163
BOUSSARD,ERIC,164
BOWER,JAMES,165
BOWER,JAMES M.,165
BOWMAN,CHRISTOPHER,166
BOX,BRIAN,167
BOYAN,JUSTIN,168
BOYAN,JUSTIN A.,168
BOYEN,XAVIER,169
BOYLE,MARY E. T.,170
BRABANT,GEORG,171
BRADLEY,P.S.,172
BRADSHAW,GARY,173
BRADTKE,STEVEN,174
BRADTKE,STEVEN J.,174
BRADY,DAVID,175
BRAITENBERG,VALENTINO,176
BRAND,MATTHEW,177
BRANDEIS,D.,178
BRASHERS-KRUG,TOM,179
BRAUER,WILFRIED,180
BRAUN,JOCHEN,181
BRAVER,TODD S.,182
BREGLER,CHRISTOPH,183
BREGLER,CRISTOPH,183
BRETTLE,DEAN,184
BRICOLO,EMANUELA,185
BRIDLE,JOHN,186
BRIDLE,JOHN S.,186
BRIEGEL,THOMAS,187
BRIGHTWELL,G.,188
BRODLEY,CARLA,189
BRODY,CARLOS,190
BRODY,CARLOS D.,190
BROMLEY,JANE,191
BROWN,ANDREW D.,192
BROWN,EDGAR A.,192
BROWN,GUY J.,192
BROWN,LYNDON J.,192
BROWN,NATHAN H.,192
BROWN,THOMAS,192
BROWN,THOMAS H.,192
BROWN,TIMOTHY X.,192
BROWNLOW,MICHAEL,193
BRUCK,J.,194
BRUCK,JEHOSHUA,194
BRUNAK,SOREN,195
BTILTHOFF,HEINRICH H.,196
BUCHANAN,JAMES T.,197
BUCKINGHAM,J.T.,198
BUCKLAND,KENNETH M.,199
BUHMANN,JOACHIM,200
BUHMANN,JOACHIM M.,200
BULSARA,A.R.,201
BURACAS,G. T.,202
BURGER,MATTHIAS,203
BURGES,CHRIS J.C.,204
BURGES,CHRISTOPHER J.C.,204
BURGESS,A. NELL,205
BURGESS,NEIL,205
BURKE,HARRY,206
BURL,MICHAEL,207
BURNOD,YVES,208
BURR,DAVID J.,209
BURR,JAMES B.,209
BUSEY,THOMAS A.,210
BUTLER,ZOE F.,211
CACCIATORE,TIMOTHY W.,212
CAI,DONGHUI,213
CALABRESE,RONALD L.,214
CALLAN,JAMES P.,215
CAMANA,RICH,216
CAMEVALE,NICHOLAS,217
CAMPADELLI,PAOLA,218
CAMPBELL,COLIN,219
CAMPBELL,P.,219
CANU,STEPHANE,220
CAPRILE,BRUNO,221
CARDIN,REGIS,222
CARLEY,L. RICHARD,223
CARLILE,SIMON,224
CARREIRA-PERPINAN,MIGUEL A.,225
CARTER,MICHAEL J.,226
CARUANA,R.,227
CARUANA,RICH,227
CASTAFIO,REBECCA,228
CATALTEPE,ZEHRA,229
CAUWENBERGHS,G.,230
CAUWENBERGHS,GERT,230
CAVANAUGH,JAMES R.,231
CAVAZOS,JOHN,232
CBOE,Y.,233
CECI,LOUIS,234
CEKIC,M.,235
CESSAC,BRUNO,236
CHANCE,FRANCES S.,237
CHANG,ERIC,238
CHANG,ERIC I.,238
CHAPELLE,OLIVIER,239
CHAPMAN,DAVID,240
CHATTERJEE,CHANTHAL,241
CHAU,PAUL M.,242
CHAUVIN,YVES,243
CHECHIK,GAL,244
CHELLAPPA,RAMA,245
CHEMJAVSKY,ALEX,246
CHEN,D.,247
CHEN,H. H.,247
CHEN,H.H.,247
CHEN,HSING-HEN,247
CHEN,KE,247
CHENG,ROGER,248
CHERKASSKY,VLADIMIR,249
CHERKAUER,K.J.,250
CHEUNG,JOHN Y.,251
CHI,Z.,252
CHIANG,ALICE,253
CHIANG,ALICE M.,253
CHIANG,WAN-PING,253
CHIANG,YU-MING,253
CHIEL,HI.,254
CHIEL,HILLEL J.,254
CHIU,TIMOTHY,255
CHIUEH,TZI-DAR,256
CHIUEH,TZIODAR,256
CHKLOVSKII,DMITRI B.,257
CHO,JUNG-WOOK,258
CHOI,S.P.M.,259
CHOI,SAMUEL P.M.,259
CHOU,P.A.,260
CHOUKRI,KHALID,261
CHOVER,JOSHUA,262
CHRISTIAN,JIM,263
CHRISTIANSON,G. BJORN,264
CHRISTY,PAUL,265
CHU,PO HSIANG,266
CHU,R.,266
CHUANG,MICHAEL,267
CHUANG,MICHAEL L.,267
CHULAEVSKY,V.A.,268
CHURCHER,S.,269
CHURCHER,STEPHEN,269
CICHOCKI,A.,270
CICHOCKI,ANDRZEJ,270
CLAIBORNE,BRENDA,271
CLAIBORNE,BRENDA J.,271
CLARE,THOMAS,272
CLEEREMANS,AXEL,273
CLOUSE,DANIEL S.,274
CMZ-CABRARA,ALVARO A.,275
COELHO,J.A.,276
COENEN,O.J.M.,277
COENEN,OLIVIER,277
COETZEE,FRANS M.,278
COGGINS,RICHARD,279
COGGINS,RICHARD J.,279
COHEN,EYAL,280
COHEN,JONATHAN D.,280
COHEN,MARC H.,280
COHEN,MICHAEL,280
COHEN,WILLIAM W.,280
COHN,DAVID,281
COHN,DAVID A.,281
COLE,CLINT S.,282
COLE,RONALD,282
COLE,RONALD A.,282
COLLARD,JOSEPH,283
CONES,C.,284
CONNOLLY,CHRISTOPHER,285
CONNOR,JEROME,286
COOK,GARY,287
COOLEN,A. C. C.,288
COOLEN,A.C.C.,288
COON,D.D.,289
COOPER,GREGORY E,290
COOPER,LEON N.,290
COOPER,PAUL R.,290
COPPENS,MARC-OLIVIER,291
CORDEROY,ANNA,292
CORNFORD,DAN,293
CORTES,CORINNA,294
COSATTO,ERIC,295
COSI,PIERO,296
COTTERILL,RODNEY,297
COTTRELL,GARRISON,298
COTTRELL,GARRISON W.,298
COTTRELL,GARRISONW.,298
COUGHLAN,JAMES M.,299
COURCHESNE,ERIC,300
COWAN,J.D.,301
COWAN,JACK D.,301
COWEN,J.D.,302
COX,STEPHEN,303
CRAIR,MICHAEL C.,304
CRAVEN,M.W.,305
CREPON,MICHEL,306
CRISP,DAVID J.,307
CRISTIANINI,NELLO,308
CRITES,R.H.,309
CRITES,ROBERT,309
CROSS,ANDREW D.J.,310
CSATO,LEHEL,311
CTTIEN,STEVE,312
CUMMINGS,KEVIN,313
CUN,YANN LE,314
CUNNINGHAM,ROBERT,315
CYMBALYUK,GENNADY S.,316
DAILEY,MATTHEW N.,317
DALE,M.,318
DAO,JOSEPH,319
DARKEN,C.,320
DARKEN,CHRISTIAN,320
DARLING,ROBERT B.,321
DARRELL,T.,322
DARRELL,TREVOR,322
DARRELL,TREVOR J.,322
DAS,SREERUPA,323
DASGUPTA,B.,324
DASGUPTA,BHASKAR,324
DAVIDOWITZ,HANAN,325
DAVIES,SCOTT,326
DAVIS,LAWRENCE,327
DAYAN,P.,328
DAYAN,PETER,328
DE-BONET,JEREMY S.,329
DE-FREITAS,JOAO F.G.,330
DE-FREITAS,JOFIO F.G.,330
DE-GERLACHE,MARTINE,331
DE-MORI,RENATO,332
DE-OLIVEIRA,PEDRO GUEDES,333
DE-RUYTER-VAN-STEVENINCK,R. R.,334
DE-RUYTER-VAN-STEVENINCK,ROB,334
DE-SA,VIRGINIA R.,335
DE-VRIES,BERT,336
DEAN,PAUL,337
DECHARMS,R. CHRISTOPHER,338
DECO,GUSTAVO,339
DEFFAYET,CEDRIC,340
DELBRUCK,T.,341
DELBRUCK,TOBI,341
DEMBO,A.,342
DEMBO,AMIR,342
DEMERS,DAVID,343
DEMIRIZ,AYHAN,344
DENEVE,SOPHIE,345
DENHAM,M.J.,346
DENKER,J.S.,347
DENKER,JOHN,347
DENKER,JOHN S.,347
DENNIS,SIMON,348
DEPPISCH,J.,349
DERTHICK,MARK,350
DEWEERTH,STEPHEN P.,351
DEWEESE,M.,352
DHAWAN,ATAM P.,353
DIAMANTARAS,K. I.,354
DIAMOND,JAY,355
DICKINSON,BRADLEY W.,356
DIETTERICH,T.G.,357
DIETTERICH,THOMAS,357
DIETTERICH,THOMAS G.,357
DIKAIAKOS,M.,358
DIMITROV,ALEXANDER,359
DIORIO,CHRIS,360
DIXON,L.C.,361
DMCKER,HARRIS,362
DODIER,R.,363
DODIER,ROBERT H.,363
DOM,BYRON,364
DOMANY,E.,365
DOMANY,EYTAN,365
DONATO,GIANLUCA,366
DONG,DAWEI,367
DONG,DAWEI W.,367
DONHAM,CHRISTOPHER,368
DONNETT,JIM,369
DONOGHUE,JOHN P.,370
DORFFNER,GEORG,371
DORNAY,MENASHE,372
DOUCET,ARNAUD,373
DOUGLAS,RODNEY,374
DOUGLAS,RODNEY J.,374
DOUGLASS,JOHN K.,375
DOW,BRUCE,376
DOW,FXNST R.,376
DOWNS,OLIVER B.,377
DOWNS,T.,377
DOYA,K.,378
DOYA,KENJI,378
DOYLE,H.R.,379
DOYON,BERNARD,380
DREES,A.,381
DREYFUS,G.,382
DREYFUS,GERARD,382
DROR,GIDEON,383
DRUCKER,H.,384
DRUCKER,HARRIS,384
DRUZINSKY,ROBERT E.,385
DUDA,RICHARD O.,386
DUFF,MICHAEL,387
DUFF,MICHAEL O.,387
DUFFY,NIGEL,388
DUNMUR,A.P.,389
DUONG,T.,390
DURING,A.,391
DYER,MICHAEL G.,392
EATON,ROBERT C.,393
ECKMILLER,ROLF,394
EDELMAN,SHIMON,395
EDWARDS,PETER J.,396
EDWARDS,R. TIMOTHY,396
EDWARDS,R.T.,396
EDWARDS,THOMAS G.,396
EECKMAN,FRANK,397
EECKMAN,FRANK H.,397
EHMAN,RICHARD,398
EISENBERG,JOE,399
EKMAN,P.,400
EKMAN,PAUL,400
EL-SHARKAWI,MOHAMED,401
EL-YANIV,RAN,402
ELBAURN,CHARLES,403
ELFADEL,I. M.,404
ELISSEEFF,ANDRE,405
ELMAN,J.L.,406
ELMAN,JEFFREY L.,406
ELVGREN,GILLETTE,407
ENGLEBRECHT,JACOB,408
EREL,JACOB,409
ERLANSON,R.,410
ERLANSON,RUTH,410
ERSU,E.,411
ERWIN,E.,412
ESKANDAR,EMAD N.,413
ESSA,IRFAN,414
ETIENNE-CUMMINGS,R.,415
ETIENNE-CUMMINGS,RALPH,415
EURICH,CHRISTIAN W.,416
FAGGIN,FEDERICO,417
FAHLMAN,SCOTT,418
FAHLMAN,SCOTT E.,418
FAHNER,GERALD,419
FALLER,WILLIAM,420
FALLSIDE,F.,421
FANG,YAN,422
FANST,UDO,423
FANTY,MARK,424
FARAH,MARTHA,425
FARBER,ROBERT,426
FAROTIMI,O.,427
FARRELL,J. A.,428
FARRELL,KEVIN R.,428
FAYYAD,USAMA,429
FEFFERMAN,CHARLES,430
FELD,DAVID,431
FELS,S. SIDNEY,432
FENG,JIANFENG,433
FERAUD,RAPHAEL,434
FERGUSON,A.,435
FERNANDEZ,MANUEL F.,436
FERNI,H.,437
FERRA,H.L.,438
FERRA,HERMAN,438
FERRARI-TRECATE,GIANCARLO,439
FERREE,THOMAS C.,440
FETZ,E.E.,441
FETZ,EBERHARD E.,441
FEULNER,JOHANNES,442
FINCH,ANDREW M.,443
FINCH,S.,443
FINE,SHAI,444
FINE,TERRENCE,444
FINE,TERRENCE L.,444
FINKE,M.,445
FINKE,MICHAEL,445
FINKEL,LEIF H.,446
FINNOFF,WILLIAM,447
FISHER,JOHN W.,448
FISHER,STEPHEN A.,448
FLAKE,G.W.,449
FLAKE,GARY W.,449
FLAMMIA,GIOVANNI,450
FLANN,NICHOLAS S.,451
FLASH,T.,452
FLASH,TAMAR,452
FLAX,MARSHALL,453
FLEISCHER,KURT,454
FLEISHER,MICHAEL,455
FLEXER,ARTHUR,456
FLOWER,B.,457
FLOWER,BARRY,457
FOKOUE,ERNEST,458
FOLTZ,PETER,459
FORREST,STEPHANIE,460
FORSYTH,DAVID,461
FORTES,JOSE A.B.,462
FOSTER,DAVID J.,463
FOX,GEOFFREY,464
FOZZARD,RICHARD,465
FRAGNIERE,E.,466
FRAGNIERE,ERIC,466
FRANCO,HORACIO,467
FRANK,JEREMY,468
FRASCONI,PAOLO,469
FREAN,MARCUS,470
FREDHOLM,HENRIK,471
FREEMAN,DONALD T.,472
FREEMAN,WILLIAM T.,472
FREIDMAN,JEROME,473
FREUND,YOAV,474
FREY,B.J.,475
FREY,BRENDAN J.,475
FRIEDMAN,A.E.,476
FRIEDMAN,NIR,476
FRIEG,THILO T.,477
FRITSCH,JUERGEN,478
FRITZKE,BEMD,479
FRITZKE,BERND,479
FRY,C.L.,480
FRYE,ROBERT,481
FUKUMIZU,K.,482
FUKUMURA,N.,483
FUKUMURA,NAOHIRO,483
FURLANELLO,CESARE,484
FURUKAWA,T.,485
GABBIANI,FABRIZIO,486
GALLAND,CONRAD C.,487
GALLANT,JACK L.,488
GALLINARI,PATRICK,489
GALPERIN,GREGORY R.,490
GAO,FANGYU,491
GARBER,F.D.,492
GARDNER,W.R.,493
GARZON,M.,494
GARZON,MAX,494
GASSER,MICHAEL,495
GAT,ITAY,496
GATELY,MICHAEL T.,497
GAUDIANO,PAOLO,498
GAUTRALS,JACQUES,499
GDALYAHU,YORAM,500
GEE,ANDREW,501
GEE,ANDREW H.,501
GEIGER,D.,502
GEIGER,DAVI,502
GEISEL,T.,503
GEISEL,THEO,503
GELFAND,J.J.,504
GELFAND,JACK,504
GEMAN,SMART,505
GENTILE,CLAUDIO,506
GENTNER,DEDRE,507
GERSHO,A.,508
GERSHO,ANEN,508
GERSTNER,W.,509
GERSTNER,WULFRAM,509
GERULES,MARK,510
GHAHRAMANI,Z.,511
GHAHRAMANI,ZOUBIN,511
GHANI,MOHAMMED-ABDEL,512
GHISELLI-CRIPPA,THEA B.,513
GHOSH,JOYDEEP,514
GHOSN,JOUMANA,515
GIANNAKOPOULOS,XAVIER,516
GILBERT,SHELDON,517
GILES,C. LEE,518
GILES,C.L.,518
GILLESPIE,DAVE,519
GILLOUX,M.,520
GINDI,GENE,521
GINGRAS,F.,522
GINPEN,RODERIC,523
GINZBURG,IRIS,524
GIROSI,FEDERICO,525
GISH,SHERI L.,526
GIULIANI,DIEGO,527
GLASS,JAMES,528
GLASSMAN,MARTIN S.,529
GLOVER,MICHAEL A.,530
GLUCK,MARK,531
GLUCK,MARK A.,531
GLYNN,JAMES,532
GOEBEL,RAINER,533
GOGGIN,SHELLY,534
GOLD,JOSH I.,535
GOLD,S.,535
GOLD,STEVEN,535
GOLDBERG,K.Y.,536
GOLDBERG,PAUL W.,536
GOLDEN,RICHARD,537
GOLDEN,RICHARD M.,537
GOLDSTEIN,M.H.,538
GOLDSTEIN,MOISE H.,538
GOLEA,MOSTEFA,539
GOLOMB,B.A.,540
GOLOWICH,STEVEN E.,541
GOMI,HIROAKI,542
GONYE,GREGORY E.,543
GOODHILL,G.J.,544
GOODHILL,GEOFFREY,544
GOODHILL,GEOFFREY J.,544
GOODINE,DAVID,545
GOODMAN,JOSEPH W.,546
GOODMAN,PHILIP H.,546
GOODMAN,RODNEY,546
GOODMAN,RODNEY M.,546
GOODWIN,JAMES,547
GOODWIN,JAMES M.,547
GORDON,G.J.,548
GORDON,MIRTA B.,548
GOTHARD,KATALIN M.,549
GOUDREAU,MARK W.,550
GOURLEY,R.,551
GRACE,JOHN,552
GRAEPEL,THORE,553
GRAF,H.P.,554
GRAF,HANS P.,554
GRAF,HANS PETER,554
GRAHAM,BRUCE,555
GRAJSKI,KAMIL A.,556
GRANDVALET,YVES,557
GRANGER,ERIC,558
GRANGER,RICHARD,558
GRAY,MICHAEL S.,559
GREBERT,IGOR,560
GREENSPAN,HAYIT K.,561
GRIER,DAVID G.,562
GRIFFIN,R. D.,563
GRIMES,DAVID B.,564
GROSSBERG,STEPHEN,565
GROSSMAN,TAL,566
GROVE,ADAM J.,567
GRUEV,VIKTOR,568
GRUNEWALD,A.,569
GRUNEWALD,ALEXANDER,569
GRUPEN,R.A.,570
GRZESZCZUK,RADEK,571
GRZYWACZ,NORBERTO M.,572
GU,CHONG,573
GUHA,ALOKE,574
GUIGON,EMMANUEL,575
GULATI,SANDEEP,576
GULLAPALLI,VIJAYKUMAR,577
GUNZINGER,ANTON,578
GUPTA,AJAY,579
GUPTA,BHUSAN,579
GUPTA,PRAHLAD,579
GUSTAFSON,KARL,580
GUSTARSON,KARL,581
GUYON,I.,582
GUYON,ISABELLE,582
GUZIK,AUDREY L.,583
GYGER,STEVE,584
GYORGYI,GEZA,585
HADDEN,LUCY E.,586
HADJFFARADJI,S.,587
HADJIFARADJI,SAEED,588
HAFFNER,PATRICK,589
HAGER,J.C.,590
HAGER,JOSEPH C.,590
HAGGERTY,JOHN,591
HAGHIGHI,S.,592
HAJTO,J.,593
HALKJAER,SCREN,594
HAMALAINEN,MATTI,595
HAMEY,LEONARD G.C.,596
HAMILTON,ALISTER,597
HAMMER,MARTIN,598
HAMMERSTROM,D.,599
HAMMERSTROM,DAN,599
HAMNO,MASAHIKO,600
HAMPSHIRE,J.B.,601
HAMPSHIRE,JOHN B.,601
HAN,IL SONG,602
HAN,IL-SONG,602
HANCOCK,EDWIN R.,603
HANCOCK,THOMAS R.,603
HANDELMAN,DAVID,604
HANDZEL,A.A.,605
HANSEN,ERIC A.,606
HANSEN,L.K.,606
HANSEN,LARS KAI,606
HANSEN,VOLKER,606
HANSON,S.J.,607
HANSON,STEPHEN,607
HANSON,STEPHEN J.,607
HANSON,STEPHEN JOSE,607
HARGET,ALAN J.,608
HARI,RIITTA,609
HARMON,MANCE,610
HARP,STEVEN A.,611
HARRIS,JOHN G.,612
HARRIS-WARRICK,RONALD M.,613
HARRISON,REID R.,614
HARTSTEIN,A.,615
HASLER,PAUL,616
HASSELMO,M.,617
HASSELMO,MICHAEL,617
HASSELMO,MICHAEL E.,617
HASSIBI,BABAK,618
HASTIE,T.,619
HASTIE,TREVOR,619
HAUSSLER,DAVID,620
HAWKINS,JIM,621
HAYASHI,AKIRA,622
HAYASHI,YOICHI,622
HAYHOE,M.M.,623
HAYNES,PAUL S.,624
HE,YU,625
HEADING,ANTHONY J.R.,626
HEBLER,VERENA,627
HECKMAN,C. J.,628
HEIL,STEFAN,629
HEILEMAN,G.L.,630
HELD,MARCUS,631
HELMBOLD,D.P.,632
HELMBOLD,DAVID,632
HELMKE,UWE,633
HELY,TIM A.,634
HENDERSON,D.,635
HENDERSON,DONNIE,635
HENDLER,JAMES,636
HENIS,EALAN A.,637
HENKEL,ROLF D.,638
HENKLE,VAN,639
HENNECKE,MARCUS,640
HENRY,HOWARD,641
HERBRICH,RALF,642
HERBSTER,M.,643
HERGERT,E,644
HERMANSKY,HYNEK,645
HERNANDEZ,GERARDINA,646
HERSCHKOWITZ,DIDIER,647
HERSHEY,JOHN,648
HERTZ,J.,649
HERTZ,JOHN,649
